ID,SENTENCE,CATEGORY,ASPECTS,ASPECT CATEGORY,SENTIMENT,ASPECTS_WITH_ASPECT_CATEGORY,ASPECTS_WITH_ASPECT_CATEGORY_AND_SENTIMENT
GPT-001,the food was delicious and beautifully presented and the service was impeccable,"FOOD, SERVICE","['TASTE', 'GENERAL']","['FOOD', 'SERVICE']","['POSITIVE', 'POSITIVE']","['FOOD-TASTE', 'SERVICE-GENERAL']","FOOD-TASTE-POSITIVE, SERVICE-GENERAL-POSITIVE"
GPT-002,the ambience was cozy and inviting and the staff was friendly and knowledgeable,AMBIENCE,"['ATMOSPHERE', 'BEHAVIOUR']","['RESTAURANT', 'SERVICE']","['POSITIVE', 'POSITIVE']","['RESTAURANT-ATMOSPHERE', 'SERVICE-BEHAVIOUR']","RESTAURANT-ATMOSPHERE-POSITIVE, SERVICE-BEHAVIOUR-POSITIVE"
GPT-003,i highly recommend trying the signature cocktail and the food was delicious and beautifully presented,"DRINK, FOOD","['PRESENTATION', 'RECOMMENDATION']","['FOOD', 'FOOD']","['POSITIVE', 'POSITIVE']","['FOOD-PRESENTATION', 'FOOD-RECOMMENDATION']","FOOD-PRESENTATION-POSITIVE, FOOD-RECOMMENDATION-POSITIVE"
GPT-004,the staff was attentive and constantly refilling my water glass and the ambience was cozy and inviting,"AMBIENCE, STAFF","['ATMOSPHERE', 'BEHAVIOUR']","['RESTAURANT', 'SERVICE']","['POSITIVE', 'POSITIVE']","['RESTAURANT-ATMOSPHERE', 'SERVICE-BEHAVIOUR']","RESTAURANT-ATMOSPHERE-POSITIVE, SERVICE-BEHAVIOUR-POSITIVE"
GPT-005,the restaurant offered a wide selection of juice smoothy and shake and the food was delicious and beautifully presented,FOOD,"['MENU', 'PRESENTATION', 'TASTE']","['FOOD', 'FOOD', 'FOOD']","['POSITIVE', 'POSITIVE', 'POSITIVE']","['FOOD-MENU', 'FOOD-PRESENTATION', 'FOOD-TASTE']","FOOD-MENU-POSITIVE, FOOD-PRESENTATION-POSITIVE, FOOD-TASTE-POSITIVE"
GPT-006,i was extremely impressed with the friendly and knowledgeable staff,STAFF,['EXPERIENCE'],['SERVICE'],['POSITIVE'],['SERVICE-EXPERIENCE'],SERVICE-EXPERIENCE-POSITIVE
GPT-007,the restaurant had a cozy and inviting ambience,AMBIENCE,['ATMOSPHERE'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-ATMOSPHERE'],RESTAURANT-ATMOSPHERE-POSITIVE
GPT-008,the service was impeccable and exceeded my expectation,SERVICE,['GENERAL'],['SERVICE'],['POSITIVE'],['SERVICE-GENERAL'],SERVICE-GENERAL-POSITIVE
GPT-009,the food was delicious and beautifully presented,FOOD,"['PRESENTATION', 'TASTE']","['FOOD', 'FOOD']","['POSITIVE', 'POSITIVE']","['FOOD-PRESENTATION', 'FOOD-TASTE']","FOOD-PRESENTATION-POSITIVE, FOOD-TASTE-POSITIVE"
GPT-010,i highly recommend trying the signature cocktail,DRINK,['RECOMMENDATION'],['FOOD'],['POSITIVE'],['FOOD-RECOMMENDATION'],FOOD-RECOMMENDATION-POSITIVE
GPT-011,the wait staff was attentive and constantly refilling my water glass,STAFF,['BEHAVIOUR'],['SERVICE'],['POSITIVE'],['SERVICE-BEHAVIOUR'],SERVICE-BEHAVIOUR-POSITIVE
GPT-012,the ambience was perfect for a romantic dinner,AMBIENCE,['ATMOSPHERE'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-ATMOSPHERE'],RESTAURANT-ATMOSPHERE-POSITIVE
GPT-013,the food was fresh and flavorful,FOOD,"['QUALITY', 'FLAVOR']","['FOOD', 'FOOD']","['POSITIVE', 'POSITIVE']","['FOOD-QUALITY', 'FOOD-FLAVOR']","FOOD-QUALITY-POSITIVE, FOOD-FLAVOR-POSITIVE"
GPT-014,i had a great time trying the different beer on tap,FOOD,['EXPERIENCE'],['FOOD'],['POSITIVE'],['FOOD-EXPERIENCE'],FOOD-EXPERIENCE-POSITIVE
GPT-015,the service was fast and efficient,SERVICE,['WAIT_TIME'],['SERVICE'],['POSITIVE'],['SERVICE-WAIT_TIME'],SERVICE-WAIT_TIME-POSITIVE
GPT-016,the staff was friendly and welcoming,STAFF,['BEHAVIOUR'],['SERVICE'],['POSITIVE'],['SERVICE-BEHAVIOUR'],SERVICE-BEHAVIOUR-POSITIVE
GPT-017,the restaurant had a beautiful outdoor seating area,RESTAURANT,['SEATING_PLAN'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-SEATING_PLAN'],RESTAURANT-SEATING_PLAN-POSITIVE
GPT-018,i was pleasantly surprised by the wide selection of tea,FOOD,['MENU'],['FOOD'],['POSITIVE'],['FOOD-MENU'],FOOD-MENU-POSITIVE
GPT-019,the food was cooked to perfection,FOOD,['QUALITY'],['FOOD'],['POSITIVE'],['FOOD-QUALITY'],FOOD-QUALITY-POSITIVE
GPT-020,the staff was knowledgeable about the menu and made great recommendation,STAFF,['GENERAL'],['SERVICE'],['POSITIVE'],['SERVICE-GENERAL'],SERVICE-GENERAL-POSITIVE
GPT-021,the restaurant had a lively and energetic atmosphere,RESTAURANT,['ATMOSPHERE'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-ATMOSPHERE'],RESTAURANT-ATMOSPHERE-POSITIVE
GPT-022,the service was prompt and attentive,SERVICE,['BEHAVIOUR'],['SERVICE'],['POSITIVE'],['SERVICE-BEHAVIOUR'],SERVICE-BEHAVIOUR-POSITIVE
GPT-023,the drink were strong and delicious,DRINK,"['QUALITY', 'TASTE']","['FOOD', 'FOOD']","['POSITIVE', 'POSITIVE']","['FOOD-QUALITY', 'FOOD-TASTE']","FOOD-QUALITY-POSITIVE, FOOD-TASTE-POSITIVE"
GPT-024,the staff was friendly and accommodating,STAFF,['BEHAVIOUR'],['SERVICE'],['POSITIVE'],['SERVICE-BEHAVIOUR'],SERVICE-BEHAVIOUR-POSITIVE
GPT-025,the restaurant had a chic and modern decor,RESTAURANT,['DECORATION'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-DECORATION'],RESTAURANT-DECORATION-POSITIVE
GPT-026,the food was affordable and filling,FOOD,"['PORTION', 'PRICE']","['FOOD', 'FOOD']","['POSITIVE', 'POSITIVE']","['FOOD-PORTION', 'FOOD-PRICE']","FOOD-PORTION-POSITIVE, FOOD-PRICE-POSITIVE"
GPT-027,i highly recommend the margarita,DRINK,['RECOMMENDATION'],['FOOD'],['POSITIVE'],['FOOD-RECOMMENDATION'],FOOD-RECOMMENDATION-POSITIVE
GPT-028,the service was friendly and personable,SERVICE,['BEHAVIOUR'],['SERVICE'],['POSITIVE'],['SERVICE-BEHAVIOUR'],SERVICE-BEHAVIOUR-POSITIVE
GPT-029,the staff was attentive and made sure everything was to our liking,STAFF,['BEHAVIOUR'],['SERVICE'],['POSITIVE'],['SERVICE-BEHAVIOUR'],SERVICE-BEHAVIOUR-POSITIVE
GPT-030,the restaurant had a warm and inviting atmosphere,RESTAURANT,['ATMOSPHERE'],['RESTAURANT'],['POSITIVE'],['RESTAURANT-ATMOSPHERE'],RESTAURANT-ATMOSPHERE-POSITIVE
GPT-031,i was impressed by the variety of smoothy and milkshake,DRINK,['MENU'],['FOOD'],['POSITIVE'],['FOOD-MENU'],FOOD-MENU-POSITIVE
GPT-032,the food was rich and satisfying,FOOD,"['PORTION', 'QUALITY']","['FOOD', 'FOOD']","['POSITIVE', 'POSITIVE']","['FOOD-PORTION', 'FOOD-QUALITY']","FOOD-PORTION-POSITIVE, FOOD-QUALITY-POSITIVE"
GPT-033,the service was quick and convenient,SERVICE,['WAIT_TIME'],['SERVICE'],['POSITIVE'],['SERVICE-WAIT_TIME'],SERVICE-WAIT_TIME-POSITIVE
