sentiment,text,user
"neutral","RT @HenriVanhanen: Finland 🇫🇮 and NATO, an update of recent developments. At this point, both internal and international tracks concerning…","dbruhn"
"neutral","This thread is so worrying. MUST READ. No wonder @POTUS spoke his mind;  reflecting what he was being briefed behin… https://t.co/teSyAxPuLb","CJ_flyvictor"
"neutral","RT @AfricanWatchman: Our position on #UkraineWar remains unchanged. It's obvious that #Russia is defending itself against #NATO's aggressiv…","Julian_Roechelt"
"neutral","RT @DonnachaDCU: #Putin's side-kick, Dmitry Medvedev, asserts that #Russia has a veto on who can join the EU. \n\nIn his view the EU is contr…","TheSwedishBot"
"neutral","RT @ALFO100897: 2/2\n...ripercussione la \"risposta\", da parte di tutti gli altri \"membri\", contro quello Stato che abbia agito in tal senso.…","anto_galli4"
"negative","🇷🇺⚡🇺🇦 58 BMP-1s from #Germany warehouses will be sent to Ukraine as military aid.\n\n⚡Join Typxa English… https://t.co/WiBRcBWGnN","TPYXAEnglish"
"negative","RT @Bain86092379: Ukranians are being killed by the #AZOVNAZIS. \n#POWs are being tortured &amp; killed by the same #AZOVNAZIS \nNow convince me…","DingaDongar"
"neutral","@DiegoFusaro #NATO #Draghi #Puzzer #UkraineRussiaWar #spesemilitari https://t.co/Sp1pUrfcp4","LMaledetta"
"neutral","@BlkCzarDW \n@Blkczar \n@ucda10 \n@ACLU\n@Pontifex \n#EU\n#NATO \n@NATO\n\nBlkCzarDW said \nTIme 2 beaware of da plight of th… https://t.co/N41RYiZxCo","BlkCzarDW"
"neutral","RT @nexta_tv: Dmitry #Medvedev claims that #Ukraine cannot join the \n EU because #Brussels is \"controlled by #Washington\" and it needs to b…","goldbug666"
"positive","RT @naidooinc: As a South African, of Indian decent, I feel real proud, of the SA &amp; Indian governments chosing the #Russian side in the #NA…","LiFei_SA"
"neutral","@zeitonline @joha_roth @marcusgatzke \"Wir müssen Putin die Eskalationsdominanz nehmen\"\nso der olle Sympathieträger… https://t.co/zXAszl6AcL","MischaStrogow"
"positive","RT @OkawaBooks: 📣New book released!📣\nRead this before you watch the news!!📚\n\"Putin’s Real Intentions on Ukraine Invasion\"\n\nLet's get your c…","TokumiToshio"
"neutral","RT @beckmansasikter: Vilken chock att #extremvänstern är emot frihetspakten #Nato Putin har många lakejer och avsändare i Sverige","jonssonsg"
"neutral","RT @HenriVanhanen: Finland 🇫🇮 and NATO, an update of recent developments. At this point, both internal and international tracks concerning…","DrRowanAllport"
"neutral","Weder die #USA, noch die #EU, noch eine der mit ihnen verbundenen Institutionen hat sich je für die Bevölkerung der… https://t.co/KU9kt3G2jr","BastianEndrik"
"neutral","RT @nexta_tv: Dmitry #Medvedev claims that #Ukraine cannot join the \n EU because #Brussels is \"controlled by #Washington\" and it needs to b…","sburley"
