sentiment,text,user
"neutral","幼い頃、私を可愛がってくれたお寺の和尚さまが\nよく読み聞かせてくれた仏教の教えの本に書いてあったお話です。\n懐かしい。\n\n奪い合えば足りない\n分かち合えばあり余る\n\n#StandWithUkraine️… https://t.co/w03dRWOgDo","ohanalomi"
"neutral","The War in children's eyes\nTHE WAR. THE VICTORY OF SPRING.\n\nhttps://t.co/c9Tgw3KfZh\n\n#IStandWithUkraine  🇺🇦🇺🇦🇺🇦… https://t.co/e6IvW3D5zt","olenaartresurs"
"neutral","The War in children's eyes\nTHE WAR. THE VICTORY OF SPRING.\n\nhttps://t.co/c9Tgw3KfZh\n\n#IStandWithUkraine  🇺🇦🇺🇦🇺🇦… https://t.co/XADuRRV3Wt","olenaartresurs"
"neutral","The War in children's eyes\nTHE WAR. THE VICTORY OF SPRING.\n\nhttps://t.co/c9Tgw3KfZh\n\n#IStandWithUkraine  🇺🇦🇺🇦🇺🇦… https://t.co/XGCmhfXPo1","olenaartresurs"
"neutral","The War in children's eyes\nTHE WAR. THE VICTORY OF SPRING.\n\nhttps://t.co/c9Tgw3KfZh\n\n#IStandWithUkraine  🇺🇦🇺🇦🇺🇦… https://t.co/GwLOSCmnoa","olenaartresurs"
"neutral","The War in children's eyes\nTHE WAR. THE VICTORY OF SPRING.\n\nhttps://t.co/c9Tgw3KfZh\n\n#IStandWithUkraine  🇺🇦🇺🇦🇺🇦… https://t.co/lJislEUidQ","olenaartresurs"
"neutral","The War in children's eyes\nTHE WAR. THE VICTORY OF SPRING.\n\nhttps://t.co/c9Tgw3KfZh\n\n#IStandWithUkraine  🇺🇦🇺🇦🇺🇦… https://t.co/hRYBFppXW8","olenaartresurs"
"neutral","The War in children's eyes\nTHE WAR. THE VICTORY OF SPRING.\n\nhttps://t.co/c9Tgw3KfZh\n\n#IStandWithUkraine  🇺🇦🇺🇦🇺🇦… https://t.co/OMeMNTZA8U","olenaartresurs"
"neutral","The War in children's eyes\nTHE WAR. THE VICTORY OF SPRING.\n\nhttps://t.co/c9Tgw3KfZh\n\n#IStandWithUkraine  🇺🇦🇺🇦🇺🇦… https://t.co/fFX6p99cxe","olenaartresurs"
"neutral","The War in children's eyes\nTHE WAR. THE VICTORY OF SPRING.\n\nhttps://t.co/c9Tgw3KfZh\n\n#IStandWithUkraine  🇺🇦🇺🇦🇺🇦… https://t.co/jhNIVF02fx","olenaartresurs"
