sentiment,text,user
"neutral","RT @_Kadyrov95: Μόλις άκουσα τον security να λέει πως καλά κάνει και εφαρμόζεται η Νέα τάξη πραγμάτων και η μείωση πληθυσμού διότι είμαστε…","Sensei1Grand"
"positive","RT @EmineDzheppar: High ranking #Russian occupant stole #Ukrainian car, put a \"V\" sign on it &amp; filled it with stolen phones, laptops, iPads…","ayee_jane"
"negative","Translation: How come \"#Putin is the only one to blame for #RussiaUkraineWar\" but it is ordinary #Russian Ivans who… https://t.co/vNAuRNfriM","OPylypovych"
"positive","RT @EmineDzheppar: High ranking #Russian occupant stole #Ukrainian car, put a \"V\" sign on it &amp; filled it with stolen phones, laptops, iPads…","AllenFlowers"
"positive","RT @EmineDzheppar: High ranking #Russian occupant stole #Ukrainian car, put a \"V\" sign on it &amp; filled it with stolen phones, laptops, iPads…","Atamansikka"
"neutral","RT @whattheshare: People of #Energodar! Writes a #RussianArmy leaflet that states writing off of all financial debt. \n\nThis happened earlie…","forest_diver"
"positive","@UAWeapons It’s astonishing how unorganized and chaotic the #russianarmy is. Mechanized warfare is their motto and… https://t.co/CkhZmFxxOb","martlca"
"neutral","RT @yenpox: #energodar , occupied territory by 🇷🇺 fascists. When civilians went out to protest the occupation, #RussianArmy started to shoo…","Luisfe25"
"positive","RT @EmineDzheppar: High ranking #Russian occupant stole #Ukrainian car, put a \"V\" sign on it &amp; filled it with stolen phones, laptops, iPads…","xeni"
"neutral","#Ukrainian Tractor Brigade strikes again! #Ukraine #RussianArmy #Россия #Russia #StandWithUkraine… https://t.co/rmIYqjh2rs","InvestorHumbl"
"positive","RT @LinskiZai: Zelensky: I have a joke for you \nPutin: What?\nZ: Kyiv\nP: I don’t get it.\nZ: That’s right. You surely won't! 🙄\n\n#Ukraine #Rus…","LinskiZai"
"positive","Vidéo RARE de Zelensky qui critique Azov(ex Bandera) et qui dénonce la propagande antirusse.\n#Ukraine… https://t.co/jO5MyOzSTC","ViktorZolotorev"
"negative","RT @ActionTime: #Putin's Days Dwindle as #RussianArmy Fails in #Ukraine.Declining #Russia is an Evil Empire of Lies #StopPutinNOW #PutinIsa…","ActionTime"
"positive","RT @EmineDzheppar: High ranking #Russian occupant stole #Ukrainian car, put a \"V\" sign on it &amp; filled it with stolen phones, laptops, iPads…","strimka_voda"
"negative","#Putin's Days Dwindle as #RussianArmy Fails in #Ukraine.Declining #Russia is an Evil Empire of Lies #StopPutinNOW… https://t.co/WeynXHJasN","ActionTime"
"positive","RT @EmineDzheppar: High ranking #Russian occupant stole #Ukrainian car, put a \"V\" sign on it &amp; filled it with stolen phones, laptops, iPads…","YelchenkoUN"
"neutral","RT @_Kadyrov95: Μόλις άκουσα τον security να λέει πως καλά κάνει και εφαρμόζεται η Νέα τάξη πραγμάτων και η μείωση πληθυσμού διότι είμαστε…","MMystiko"
"neutral","Chatice do caraças...\n#Russians #RussiaInvadedUkraine #RussianArmy #RussianUkrainianWar #StandWithUkraine https://t.co/5ZD9aaNxbZ","NFA_78"
"positive","RT @HerryNapit: #Ukraine: Ukrainian army offers a reward if Russian pilots defect to Ukraine: $1 million per aircraft and 500,000 per helic…","HerryNapit"
"neutral","RT @The3Swamp: - Genial -\nDie Ukraine bietet Russen, die überlaufen oder verkaufen wollen, Belohnungen an.\nJET – 1.000.000 $\nHUBSCHRAUBER -…","huskolzhe"
"positive","#Russians, you should be proud of your great #RussianArmy https://t.co/PsMKYZYgMx","_little_grace_"
"positive","RT @HerryNapit: Ukraine: Send a clear message to Russian President Vladimir Putin, The Greater Kremin, and Russians: \n\nStop bombing Ukraini…","HerryNapit"
"positive","RT @ArmedMaidan: #Russian forces creating “complete disaster” by leaving mines on homes, corpses as withdraw around #Kyiv: #Zelensky\n\nhttps…","vassellia_bond"
"positive","RT @Suriyakmaps: - #RussianArmy advanced north &amp; northeast of Urozhaine/Урожайне village as advance towards Velyka Novosilka/Велика Новосіл…","guardiarep"
"neutral","RT @Suriyakmaps: Thirty-eighth day of combats continue with #RussianArmy withdrawal from severar areas of northern front. The semi-siege of…","guardiarep"
"neutral","RT @Suriyakmaps: by #RussianArmy was overestimated, this can explain the continue ambushes against their troops in addition with the logist…","guardiarep"
"positive","RT @HerryNapit: Russia attacks Ukraine: Ukrainian army continues to destroy Russian equipment. Are you happy now, Vladimir Putin? 💀 #Putin…","HerryNapit"
"positive","I believe Russia had any and every right to counter NATO and Merican bullshit,\nTo support Ukraine you either have t… https://t.co/QtaRKaMdaP","ArsalanKhalidK2"
