sentiment,text,user
"negative","RT @HimerikJulia: When Sumy was under #RussianAttack, it was horrible night, i asked my friend to leave the city. He said: «We will resist,…","SHavamal"
"negative","RT @HimerikJulia: When Sumy was under #RussianAttack, it was horrible night, i asked my friend to leave the city. He said: «We will resist,…","Maczeks_Ghost2"
"neutral","RT @managehours: @Lovea2ndbaseman YUP, and #tfg #TRAITORtRUMP helped #putin start #putinsWAR on #Ukriane, #NATO and #AMERICA YEARS ago, dum…","LemStraw"
"neutral","@Lovea2ndbaseman YUP, and #tfg #TRAITORtRUMP helped #putin start #putinsWAR on #Ukriane, #NATO and #AMERICA YEARS a… https://t.co/di014ENdHS","managehours"
"positive","https://t.co/Axzzt0LFwJ\nMore than 150 children have been killed in the Russian attack\n#russiaukraine… https://t.co/JdEOxt8R65","AnmNews"
"neutral","Video shows Europe's largest #food #warehouse on fire after 'deliberate' #Russianattack #SupportUkraine… https://t.co/7h9amGzSEE","JukkaPartanen3"
"negative","RT @BohdanaMuzychko: In the center of #Europe in 2022. This horrible numbers of #ukrainian children died as a result of the #russianattack…","TeamShakeri"
"negative","In the center of #Europe in 2022. This horrible numbers of #ukrainian children died as a result of the… https://t.co/oSJi5x3jCH","BohdanaMuzychko"
"neutral","The #botsandtrolls are working overtime to bury  #TrumpCoverUp with any #DISinformation they can come up with.… https://t.co/lCch3TDEMd","managehours"
"neutral","Video shows Europe's largest #foodwarehouse on fire after 'deliberate' #RussianAttack | Euronews #UkraineRussiaWar  https://t.co/vYgwoZ4UJt","RA_Geissler"
"neutral","RT @News7Agency: #Ukrainian boy set up a wooden machine-gun checkpoint against the #Russianattack. #Ukraine #UkraineWar https://t.co/UlzZdn…","emineim1"
"neutral","RT @News7Agency: #Ukrainian boy set up a wooden machine-gun checkpoint against the #Russianattack. #Ukraine #UkraineWar https://t.co/UlzZdn…","789Bigsky"
"neutral","#Ukrainian boy set up a wooden machine-gun checkpoint against the #Russianattack. #Ukraine #UkraineWar https://t.co/UlzZdn86oM","News7Agency"
"neutral","#TrumpRussia #DonaldTrump #RussianAttack #PutinsPuppet #TrumpCrimeSyndicate https://t.co/BvDjPmA3dO","LoveOurNewPres"
"positive","RT @War_stream: Many Explosions In Kyiv JUST NOW! \n\nLook At Camera #5\n\n#kyiv #kiev #ukraine #ukrainewar #UkraineRussiaWar #RussianArmy #rus…","PinottJesus"
"positive","Many Explosions In Kyiv JUST NOW! \n\nLook At Camera #5\n\n#kyiv #kiev #ukraine #ukrainewar #UkraineRussiaWar… https://t.co/zCz4I5PSGz","War_stream"
"positive","RT @Ilmastosankari: Do you want to be \"liberated\"? Special operation against humanity by #Putin\n\n#Ukraine #RussianAttack","ZeroZhvk"
