sentiment,text,user
"negative","RT @War_Mapper: Map of the approximate situation in Ukraine as of 00:00 UTC 02/04/22. \n\n#UkraineCrisis #UkraineUnderAttack #Breaking #Kyiv…","Elisonext"
"neutral","RT @MunmunNarang: Mariupol city center, today.\nComplete devastation.\n#Mariupol #UkraineRussiaWar #RussiaUkraineWar #UkraineCrisis #Ukrainia…","tavonyms"
"positive","Amid continued hike in #Diesel prices, #Fertilisers prices also rose in #India. \n\n#India #DAP #Farming #agriculture… https://t.co/nSo2PitYSy","TheVikasLohchab"
"negative","RT @CGMeifangZhang: #JustIn: Chinese FM Wang Yi warns against negative spillover effects of #UkraineCrisis.🔽 https://t.co/szwfXwm2JV","Amensisa13"
"neutral","RT @kroon125: Mensen die deelnamen aan anti-oorlogsbijeenkomsten worden ook vastgehouden in #Moskou #Ukraine #UkraineCrisis #UkraineWar #St…","GilsvanJac"
"neutral","#US Providing #Ukraine With Supplies In Case Of Chemical, Biological Attack By #Russia : White House… https://t.co/hE7lutbpcp","abplivenews"
"negative","Round The World With The Indus Post\n\nhttps://t.co/LD3vOjy2kk \n\n#Srilanka #crisis #emergency #NepalPM #Indiavisit… https://t.co/1mKQWEicMm","IndusPostNews"
"neutral","RT @ShelterBoxCan: ShelterBox Canada Executive Director, Stephanie Christensen, is on the ground in #Moldova and spoke with @cnni about the…","slennon4"
"neutral","RT @ShelterBoxCan: ShelterBox Canada Executive Director, Stephanie Christensen, is on the ground in #Moldova and spoke with @cnni about the…","KevinLennon1"
"neutral","Zelfs #Orwell had dit niet kunnen bedenken\n\nIn het Zaryadye-park in #Moskou worden mensen aangehouden die alleen ma… https://t.co/TOFsPBTkuw","kroon125"
"negative","RT @War_Mapper: Map of the approximate situation in Ukraine as of 00:00 UTC 02/04/22. \n\n#UkraineCrisis #UkraineUnderAttack #Breaking #Kyiv…","AngryArgie"
"neutral","Mensen die deelnamen aan anti-oorlogsbijeenkomsten worden ook vastgehouden in #Moskou #Ukraine #UkraineCrisis… https://t.co/9GaivsLV4u","kroon125"
"neutral","RT @ABSCBNNews: JUST IN: Russian forces in 'rapid retreat' from northern areas: Ukraine | via @AFP #UkraineCrisis \n\nRelated report: https:/…","EmmanAbedan"
"negative","RT @War_Mapper: Map of the approximate situation in Ukraine as of 00:00 UTC 02/04/22. \n\n#UkraineCrisis #UkraineUnderAttack #Breaking #Kyiv…","PKM00484"
"negative","@FoxNews #UkraineCrisis : Maybe because the #Pentagon is incompetent?","SrbinSloboda"
"positive","RT @CGMeifangZhang: #Latest #UkraineCrisis \nFM diplomat said a meeting between #Chinese and #Ukrainian leaders is always on the agenda and…","EdwardRosado17"
"neutral","Speciale terroristen troepen van het Russische leger in de regio #Cherson\n\nSoldaten voeren een speciale operatie ui… https://t.co/TXaBYhuhQY","kroon125"
"negative","RT @lionhea02905378: A Russian defensive position was taken by Ukraine forces. The T-72 tank was destroyed, a military truck was abandoned.…","GamerHejka"
"positive","Thats great idea, my dear @POTUS. Heard me this, #BlackLivesMatter too, we are not leaving those kids behind, get y… https://t.co/4EAgCWnfuO","MizzBeatzzz"
"negative","RT @War_Mapper: Map of the approximate situation in Ukraine as of 00:00 UTC 02/04/22. \n\n#UkraineCrisis #UkraineUnderAttack #Breaking #Kyiv…","progavalanche"
"neutral","#IndiasWorld: पीछे हटना अधिक कठिन क़दम होने जा रहा है. इसमें कूटनीति को हस्तक्षेप करना ही चाहिए- चाहे वह #UN जैसे… https://t.co/wfDB6TOYHc","orfhindi"
"positive","RT @CGMeifangZhang: #Latest #UkraineCrisis \nFM diplomat said a meeting between #Chinese and #Ukrainian leaders is always on the agenda and…","GPursals"
"negative","RT @War_Mapper: Map of the approximate situation in Ukraine as of 14:00 UTC 01/04/22. \n\n#UkraineCrisis #UkraineUnderAttack #Breaking #Kyiv…","MarionSaternes"
"negative","RT @CGMeifangZhang: #JustIn: Chinese FM Wang Yi warns against negative spillover effects of #UkraineCrisis.🔽 https://t.co/szwfXwm2JV","za3rah1"
"neutral","#RitterSport heeft een nieuwe speciale smaak voor #Rusland uitgebracht #Ukraine #UkraineCrisis #UkraineWar… https://t.co/5v6YpBHi8O","kroon125"
"negative","RT @War_Mapper: Map of the approximate situation in Ukraine as of 00:00 UTC 02/04/22. \n\n#UkraineCrisis #UkraineUnderAttack #Breaking #Kyiv…","BrisaInfinita"
"neutral","RT @ABSCBNNews: JUST IN: Russian forces in 'rapid retreat' from northern areas: Ukraine | via @AFP #UkraineCrisis \n\nRelated report: https:/…","MaryCri66390193"
"neutral","RT @Voaburmese: ယူကရိန်းကို ရုရှားက ကျူးကျော်တိုက်ခိုက်နေတဲ့ စစ်ပွဲကို တွန်းလှန်တာမှာ ဘဲလာရုစ်အစိုးရကို ဆန့်ကျင်တိုက်ခိုက်နေသူတွေလည်း ပါဝင်…","UAung90479935"
"neutral","RT @kroon125: Een actie tegen de oorlog in #Oekraïne vond plaats nabij het militair ziekenhuis in #StPetersburg #Rusland #Ukraine #UkraineC…","HansSars2"
"neutral","Een actie tegen de oorlog in #Oekraïne vond plaats nabij het militair ziekenhuis in #StPetersburg #Rusland #Ukraine… https://t.co/zeRd4AOTT9","kroon125"
"positive","RT @CGMeifangZhang: #Latest #UkraineCrisis \nFM diplomat said a meeting between #Chinese and #Ukrainian leaders is always on the agenda and…","LaraYemaya7"
"positive","RT @CGMeifangZhang: #Latest #UkraineCrisis \nFM diplomat said a meeting between #Chinese and #Ukrainian leaders is always on the agenda and…","DragonEddie5"
"negative","RT @CGMeifangZhang: #JustIn: Chinese FM Wang Yi warns against negative spillover effects of #UkraineCrisis.🔽 https://t.co/szwfXwm2JV","Songlin_murong"
"neutral","ယူကရိန်းကို ရုရှားက ကျူးကျော်တိုက်ခိုက်နေတဲ့ စစ်ပွဲကို တွန်းလှန်တာမှာ ဘဲလာရုစ်အစိုးရကို ဆန့်ကျင်တိုက်ခိုက်နေသူတွေလ… https://t.co/hjZibTegpn","Voaburmese"
"negative","RT @CGMeifangZhang: #JustIn: Chinese FM Wang Yi warns against negative spillover effects of #UkraineCrisis.🔽 https://t.co/szwfXwm2JV","augus_au"
"positive","RT @CGMeifangZhang: #Latest #UkraineCrisis \nFM diplomat said a meeting between #Chinese and #Ukrainian leaders is always on the agenda and…","Songlin_murong"
"negative","RT @CGMeifangZhang: #JustIn: Chinese FM Wang Yi warns against negative spillover effects of #UkraineCrisis.🔽 https://t.co/szwfXwm2JV","Wakin_t"
