sentiment,text,user
"neutral","RT @IuliiaMendel: Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded. #StandWithUkr…","sorjonen_fi"
"neutral","RT @IuliiaMendel: Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded. #StandWithUkr…","no1historychick"
"neutral","RT @IuliiaMendel: Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded. #StandWithUkr…","AlfredGliddon"
"neutral","RT @IuliiaMendel: Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded. #StandWithUkr…","Charlen22337645"
"neutral","RT @IuliiaMendel: Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded. #StandWithUkr…","bandergrad"
"neutral","RT @Hortsch2: Mooooooooin!\n\nSchönes Wochenende euch allen!\n(Außer Putin und Lawrow latürnich)\nHeißgetränk gefällig?\n☕☕☕☕☕☕☕☕☕☕☕\n\n#StandWith…","Egal76839893"
"neutral","RT @IuliiaMendel: Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded. #StandWithUkr…","xlenm"
"neutral","@ladyp65can Russian Army is an Army of Murderers, Terrorists, Rapists, Blackmailers and Looters !!!… https://t.co/Uoeb1yqBno","AlexEParada2"
"neutral","Mooooooooin!\n\nSchönes Wochenende euch allen!\n(Außer Putin und Lawrow latürnich)\nHeißgetränk gefällig?\n☕☕☕☕☕☕☕☕☕☕☕… https://t.co/6jCHnaOcnx","Hortsch2"
"neutral","20% of Ukrainian territory is now under Russian Control, informed Ukraine President Volodymyr Zelenskyy.… https://t.co/0RR5MiHocX","THEFREEMEDIA2K"
"neutral","RT @IuliiaMendel: Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded. #StandWithUkr…","encorebenoit"
"neutral","#StopPutinNOW https://t.co/e4S5pQEcww","Ald19Dr"
"neutral","RT @IuliiaMendel: Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded. #StandWithUkr…","BSBonner"
"positive","RT @MavkaSlavka: Propaganda and brainwashing start early. Fascism is alive in Putler's ruZZia - it's been adopted into the doctrine of ever…","stopmadmanputin"
"neutral","RT @IuliiaMendel: Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded. #StandWithUkr…","sztu_i"
"neutral","RT @IuliiaMendel: Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded. #StandWithUkr…","BarbelKonkel"
"positive","RT @kiraincongress: There are fears that #Severodonetsk may have its own #Azovstal. About 800 people are hiding in Soviet-era bomb shelters…","ariaghajar"
"neutral","RT @IuliiaMendel: Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded. #StandWithUkr…","NepCata"
"neutral","RT @IuliiaMendel: Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded. #StandWithUkr…","MeaganABrown"
"neutral","RT @IuliiaMendel: Russians hit warehouses of an agricultural enterprise in the Odesa region with cruise missile. Two wounded. #StandWithUkr…","ichnich89648258"
