sentiment,text,user
"neutral","NO WAR - stop war!!\n-\nhttps://t.co/VLOAypkEYW\n-\nhttps://t.co/qX63ZqBr0r \n-\n#ukraine #stopthewar… https://t.co/T6hj1udwKI","IvoSief"
"neutral","RT @AmbigrammDesign: Moin, auf gehts … genießt den Tag und das Leben …\n\n#Samstag #Wochenende #StandWithUkraine #StopTheWar #StopptDenKrieg…","pihalbe"
"neutral","#Ukraine\n#Russia\n#Stopthewar\n\n#June\n#start https://t.co/l8mWfGLA9G","YusukeJordan"
"neutral","RT @Klitschko: 100 Days of barbaric war. #WeAreAllUkrainians #StandWithUkraine #StopTheWar #FreeUkraine https://t.co/1kMTLL4yga","Samsteruni"
"neutral","RT @Klitschko: 100 Days of barbaric war. #WeAreAllUkrainians #StandWithUkraine #StopTheWar #FreeUkraine https://t.co/1kMTLL4yga","BabylonCaroline"
"neutral","RT @Klitschko: #WeAreAllUkrainians #StandWithUkraine #StopTheWar #FreeUkraine https://t.co/VQ201VtW8G","BabylonCaroline"
"neutral","RT @Klitschko: 100 Days of barbaric war. #WeAreAllUkrainians #StandWithUkraine #StopTheWar #FreeUkraine https://t.co/1kMTLL4yga","MarjaLaukkanen"
"neutral","RT @Atlan82: Und hier ist die Torte für die beste Timeline der Welt und weil heute mein Geburtstag ist wünsche ich mir:\nEinen schönen #Prid…","AgedMzungu"
"neutral","RT @MatsumuraKazuko: 🎉✨😆✨🎊\n『ユチョンおめでとう』#Happy6002day\n#2022HappyユチョンDay\n#박유천_생일축하해\n#JYJ_FOREVER\n#AlwaysbesideofYU\n#StopTheWar\n#戦争反対\n#アメブロ \n#松…","iPxHrvmsWEe79dq"
"positive","RT @BremerVan: Maria just finished a new cat drawing. ✍️ 🐈 🥰 \n\nThe Zakarpatska region where she fled to with her mom was hit by missiles ye…","CGordon42534727"
"neutral","RT @Klitschko: 100 Days of barbaric war. #WeAreAllUkrainians #StandWithUkraine #StopTheWar #FreeUkraine https://t.co/1kMTLL4yga","LiberaMariusz"
"neutral","▶ Ukraiński student obronił swój dyplom #Online na froncie\n‼WOJNA na #Ukraina 🇺🇦, 1️⃣0️⃣1️⃣. dzień walk, relacja… https://t.co/IYJUeEb3oS","radiolodz"
"neutral","RT @Klitschko: 100 Days of barbaric war. #WeAreAllUkrainians #StandWithUkraine #StopTheWar #FreeUkraine https://t.co/1kMTLL4yga","sterpone_a"
"positive","It occurred to me that perhaps many of you reading this may never have heard of the #MilitaryIndustrialComplex. I h… https://t.co/5oo7Vfzztp","Cease0fire"
"neutral","RT @Klitschko: 100 Days of barbaric war. #WeAreAllUkrainians #StandWithUkraine #StopTheWar #FreeUkraine https://t.co/1kMTLL4yga","scatharis"
"neutral","RT @Klitschko: 100 Days of barbaric war. #WeAreAllUkrainians #StandWithUkraine #StopTheWar #FreeUkraine https://t.co/1kMTLL4yga","stst1967"
"neutral","RT @Atlan82: Und hier ist die Torte für die beste Timeline der Welt und weil heute mein Geburtstag ist wünsche ich mir:\nEinen schönen #Prid…","sepaho"
"neutral","RT @waraumugi: #StopTheWar https://t.co/qgLlHxKzAK","y_takenaka0525"
"neutral","RT @IkichDa20200518: おはようございます☀にゃん🐈‍⬛\n土曜日だにゃん\n #NoWar  #NoWarPlease 🙏✌️🐈#WorldPeace 💛💚💙💜❤️\n#StopTheWar #平和がいいにゃ\n #猫  #黒猫 #黒猫だいすき🐈‍⬛🐕#黒猫クラブ…","neko_ohagi222"
"neutral","RT @Atlan82: Und hier ist die Torte für die beste Timeline der Welt und weil heute mein Geburtstag ist wünsche ich mir:\nEinen schönen #Prid…","Kleidergroessen"
"neutral","RT @Klitschko: 100 Days of barbaric war. #WeAreAllUkrainians #StandWithUkraine #StopTheWar #FreeUkraine https://t.co/1kMTLL4yga","LeBaiLoic"
"neutral","Stop the war now!\n#ЯпротивВойны\n#StoptheWar\n#NoWarInUkraine\n#NoWarPlease\n#戦争反対 https://t.co/hvFway2SSn","okedgeplaytheb"
"neutral","RT @Klitschko: 100 Days of barbaric war. #WeAreAllUkrainians #StandWithUkraine #StopTheWar #FreeUkraine https://t.co/1kMTLL4yga","Jutta_Tatjana"
"positive","WHEN PEOPLE LIKE DR CAMPBELL START TALKING LIKE THIS, ITS TIME TO STOP PRETENDING WE ARENT IN HUGE TROUBLE!!… https://t.co/HE1MPozQaA","LoraInAlberta"
"neutral","Moin, auf gehts … genießt den Tag und das Leben …\n\n#Samstag #Wochenende #StandWithUkraine #StopTheWar… https://t.co/zHXoKH4AAs","RoScheilDesign"
"neutral","RT @IkichDa20200518: おはようございます☀にゃん🐈‍⬛\n土曜日だにゃん\n #NoWar  #NoWarPlease 🙏✌️🐈#WorldPeace 💛💚💙💜❤️\n#StopTheWar #平和がいいにゃ\n #猫  #黒猫 #黒猫だいすき🐈‍⬛🐕#黒猫クラブ…","mori_kiseki"
"neutral","RT @Klitschko: 100 Days of barbaric war. #WeAreAllUkrainians #StandWithUkraine #StopTheWar #FreeUkraine https://t.co/1kMTLL4yga","BelsizeVillage"
"neutral","Moin, auf gehts … genießt den Tag und das Leben …\n\n#Samstag #Wochenende #StandWithUkraine #StopTheWar… https://t.co/XaaSgx9X6L","AmbigrammDesign"
"positive","RT @BremerVan: Maria just finished a new cat drawing. ✍️ 🐈 🥰 \n\nThe Zakarpatska region where she fled to with her mom was hit by missiles ye…","jamtartladyharp"
"neutral","RT @Klitschko: 100 Days of barbaric war. #WeAreAllUkrainians #StandWithUkraine #StopTheWar #FreeUkraine https://t.co/1kMTLL4yga","MortensenFrank"
