sentiment,text,user
"positive","RT @Arts_42: The Joy of Expression \nBruce Neeley ©️2022\n❤️☘️🐥❤️✨❤️🦢❤️🦢❤️\n#ArtistsOnTwitter #Art\n#Drawing ✍🏻#Digital 🖥\n#DigitalPainting 🎨\n❤️…","whiteteddybear5"
"neutral","RT @genmaichan0804: チャリティーグッズ第7弾は「ウクライナチュールドレス👗」です🐰🇺🇦\n\nリボンやバラでウクライナカラーを使い、デザインしました💙💛\n首元のフリルもとても可愛いです💕\n\nお値段は3,000円(送料込み)です🐰\n\n#ウクライナ #ウクライナ支援…","love_flower009"
"neutral","RT @Peppe24245235: CENTO GIORNI di orrori, devastazioni, prepotenza e morte.\nCENTO GIORNI di GUERRA\n#100giorni\n#PrayForUkraine \n#StopPutinN…","jeremran"
"neutral","少しでも早く暴力と破壊が止みますように…\n\n#ウクライナに平和を \n#StandWithUkraine \n#PrayForUkraine https://t.co/ZQobCGuxFT","girotomo2xkori"
"neutral","RT @Vlasta50105927: 🤔 DOBRO JUTRO 🌞🌞🌞 MOJI in LEP DAN vam ŽELIM #PrayForUkraine 🇺🇦3️⃣1️⃣🇸🇮🍀 https://t.co/lbijxsYJey","BranislavBizjak"
"neutral","RT @Piotr39_C: Отже, війна! [анімація] 🇺🇦#Ukraine\n\n#HelpUkraine #FreeUkraine #Украина #UkraineWar #UkraineRussianWar #PutinsWar #UkraineUnd…","Elbieta19132649"
"positive","Rosy beauty 💗 Thank Goodness for one more day 🙏🏻 #PrayForUkraine #Ukraine #UkraineWillWin #macrophotography… https://t.co/x0tvGMgIVR","SvitlanaK_Photo"
"neutral","RT @promunhak: 김소진 배우님이 내레이션하고 출연료를 우크라이나에 기부하기로 한 KBS 특집 다큐멘터리 &lt;우크라이나 침공 100일- 테티아나의 일기&gt;가 유튜브에 전체 방송이 올라왔습니다.\n앞으로도 고요하고 단단하게 선한 영향력을 펼치는 김…","244domoring"
"neutral","RT @Megakosciol: #WersetNadziei: \"Zawsze się radujcie. Bez przystanku się módlcie. Za wszystko dziękujcie; taka jest bowiem wola Boża w Chr…","Elbieta19132649"
"negative","🕯9:00 a.m. - a minute of silence in Ukraine for those killed in the Russian war against Ukraine.\n\n#WeAreUkraine… https://t.co/FZUae8mD2m","Ukraine_SID"
"neutral","RT @Megakosciol: #WersetNadziei: \"Zawsze się radujcie. Bez przystanku się módlcie. Za wszystko dziękujcie; taka jest bowiem wola Boża w Chr…","Pieter_Zmuda"
"neutral","RT @Megakosciol: #WersetNadziei: \"Bo u Boga żadna rzecz nie jest niemożliwa.\" #EwangeliaŁukasza 1:37\n\n#IPPTV #megakościół #chrześcijaństwo…","Pieter_Zmuda"
"neutral","der #art4peace Friedenskrieger kämpft um das dahin schmelzende friedliche Miteinander #musa #PrayForUkraine June 4, 2022 at 07:52AM","Friedenskriege"
"neutral","Gm! \nWorld has forgotten that Ukraine is still suffering. \n#UkraineWar #PrayForUkraine https://t.co/qKre1DWXzS","art_lover_09"
"neutral","RT @Megakosciol: #WersetNadziei: \"Bo u Boga żadna rzecz nie jest niemożliwa.\" #EwangeliaŁukasza 1:37\n\n#IPPTV #megakościół #chrześcijaństwo…","IPPWarszawa"
"neutral","RT @Megakosciol: #WersetNadziei: \"Zawsze się radujcie. Bez przystanku się módlcie. Za wszystko dziękujcie; taka jest bowiem wola Boża w Chr…","IPPWarszawa"
"neutral","RT @Megakosciol: #WersetNadziei: \"Zawsze się radujcie. Bez przystanku się módlcie. Za wszystko dziękujcie; taka jest bowiem wola Boża w Chr…","MichtaMonika"
"neutral","Отже, війна! [анімація] 🇺🇦#Ukraine\n\n#UkraineUnderAttaсk #StopWar #UkraineWar #HelpUkraine #FreeUkraine… https://t.co/5DYWc93nFG","lukas_34w"
"neutral","RT @Megakosciol: #WersetNadziei: \"Zawsze się radujcie. Bez przystanku się módlcie. Za wszystko dziękujcie; taka jest bowiem wola Boża w Chr…","GrabskiDamian"
"neutral","🤔 DOBRO JUTRO 🌞🌞🌞 MOJI in LEP DAN vam ŽELIM #PrayForUkraine 🇺🇦3️⃣1️⃣🇸🇮🍀 https://t.co/lbijxsYJey","Vlasta50105927"
"neutral","RT @promunhak: 김소진 배우님이 내레이션하고 출연료를 우크라이나에 기부하기로 한 KBS 특집 다큐멘터리 &lt;우크라이나 침공 100일- 테티아나의 일기&gt;가 유튜브에 전체 방송이 올라왔습니다.\n앞으로도 고요하고 단단하게 선한 영향력을 펼치는 김…","Gymnaju"
"positive","Keep The Light On ✨🕯✨ \n#PrayForPeace ✨🤍🕊✨\n#PrayForUSA &amp; ✨🌎✨\n#PrayForUkraine✨💙💛✨ https://t.co/QFe5yEDXIr","mostra4u"
"neutral","RT @promunhak: 김소진 배우님이 내레이션하고 출연료를 우크라이나에 기부하기로 한 KBS 특집 다큐멘터리 &lt;우크라이나 침공 100일- 테티아나의 일기&gt;가 유튜브에 전체 방송이 올라왔습니다.\n앞으로도 고요하고 단단하게 선한 영향력을 펼치는 김…","jinwonh"
"positive","RT @loveforrealstar: The world seems dark 😢💔Use your light to make a difference 🌿Stars thoughts for today\n🌻🙏🌻🙏🌻🙏🌻💛🌿💙💛🌿💙🌿💛Sunday blessings l…","edjlazar"
"neutral","平和を祈って🕊\n#PrayForUkraine #剣道 #kendo https://t.co/LqhXSlaCoE","hosimaru_kendo"
"neutral","RT @DivinaMiseric20: “La humanidad no tendrá #paz hasta que se vuelva con confianza a Mi Misericordia” (Diario, 300) 🤲 #JesusEnTiConfio #Di…","CarlosLuisSwett"
"neutral","RT @promunhak: 김소진 배우님이 내레이션하고 출연료를 우크라이나에 기부하기로 한 KBS 특집 다큐멘터리 &lt;우크라이나 침공 100일- 테티아나의 일기&gt;가 유튜브에 전체 방송이 올라왔습니다.\n앞으로도 고요하고 단단하게 선한 영향력을 펼치는 김…","hajoobin"
"neutral","RT @promunhak: 김소진 배우님이 내레이션하고 출연료를 우크라이나에 기부하기로 한 KBS 특집 다큐멘터리 &lt;우크라이나 침공 100일- 테티아나의 일기&gt;가 유튜브에 전체 방송이 올라왔습니다.\n앞으로도 고요하고 단단하게 선한 영향력을 펼치는 김…","meatbrothnoodle"
"neutral","RT @promunhak: 김소진 배우님이 내레이션하고 출연료를 우크라이나에 기부하기로 한 KBS 특집 다큐멘터리 &lt;우크라이나 침공 100일- 테티아나의 일기&gt;가 유튜브에 전체 방송이 올라왔습니다.\n앞으로도 고요하고 단단하게 선한 영향력을 펼치는 김…","red63438460"
