sentiment,text,user
"neutral","No end to Ukraine war in sight, hunger crisis looms - UN\n @sightmagazine  #Ukraineconflict #foodsecurity #hunger #UN\nhttps://t.co/lNr8igeHD9","sightmagazine"
"negative","I think I’m gonna be sick … 🤪😶\n\n(And I better don’t comment those statements from @JoeBiden, along with everything… https://t.co/Xj49L8Zvet","alpha7B5"
"neutral","❗️❗️❗️\n\n#UkraineConflict #TheWest https://t.co/wfqacZRcqL","alpha7B5"
"neutral","The day of the war at a glance: Scholz leaves Kyiv visit open - Bundestag approves 100 billion for the Bundeswehr… https://t.co/t62tDYikbI","JuicyReviewz7"
"neutral","In the suburbs of Severodonetsk in eastern Ukraine, two Reuters reporters were reportedly injured in a shooting whi… https://t.co/kDicqBcHyI","fns124"
"positive","RT @JuicyReviewz7: Putin's supposed \"best\" sniper Alexander Kislinsky fallen\n #AlexanderKislinsky #sniper #Ukraine #Ukraineconflict \n#News…","TeunissenHerman"
"positive","RT @JuicyReviewz7: Putin's supposed \"best\" sniper Alexander Kislinsky fallen\n #AlexanderKislinsky #sniper #Ukraine #Ukraineconflict \n#News…","TurnAmericaBlu_"
"positive","Putin's supposed \"best\" sniper Alexander Kislinsky fallen\n #AlexanderKislinsky #sniper #Ukraine #Ukraineconflict… https://t.co/UZuX63qXEI","JuicyReviewz7"
"neutral","Ukrainians hold out as Russia storms eastern city on war's 100th day @sightmagazine  #Ukraineconflict… https://t.co/KzBKYKcOmY","sightmagazine"
"positive","7 million refugees have fled Ukraine in the first 100 days of fighting. @ZelenskyyUa claims Russia occupies 20% of… https://t.co/BP4NysA6ui","1hikid"
"negative","RT @MarKittyKat: Russians don’t capture cities they destroy them.  This video shows Sievierodontesk, which is now facing the same fate as M…","longterm_invest"
"neutral","#UkraineWar #ukrainewarreport #UkraineInvasion #UkraineConflict #UkraineCrisis #Ukraine #Russia #Belarus #Putin… https://t.co/il5sPH7aVK","caffeinsomniac"
"neutral","RT @Brew4Ukraine: Today @brew4ukraine sent $1752 to @unicef, this donation was made by @WestkeyLtd that donated 8000 #PutinHuylo labels.  U…","WoodysWorldTV"
