sentiment,text,user
"neutral","RT @Danait70: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #576DaysOfTigrayGenocide, remain forgotten…","WelduYtbarek"
"positive","Su-25 after being hit by manpads. The pilot landed. \n\nThe Su-25 is statistically the most survivable attack aircraf… https://t.co/59H7ZfK6nG","gahamalian"
"neutral","RT @Danait70: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #576DaysOfTigrayGenocide, remain forgotten…","Nahom011"
"neutral","“زیلینسکی بەبۆنەی تێپەڕبوونی 100 رۆژ بەسەر هێرشی رووسیا: سەرکەوتن بۆ ئێمەیە” \n#Ukraine  #UkraineWar \n\nhttps://t.co/R2EGkTi3jE","nure_mawni"
"neutral","RT @Danait70: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #576DaysOfTigrayGenocide, remain forgotten…","KusuWeyenti"
"neutral","RT @Danait70: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #574DaysOfTigrayGenocide, remain forgotten…","Nahom011"
"neutral","RT @AbrehetTigray1: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #574DaysOfTigrayGenocide, remain forg…","Eza_Meret"
"neutral","RT @Danait70: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #574DaysOfTigrayGenocide, remain forgotten…","KusuWeyenti"
"neutral","RT @GiovaQuez: Salvini: \"Se aspettiamo il Pd o qualcuno dei 5 Stelle per costruire la pace dovremmo attendere anni\". Quindi è giusto che si…","Inna22030488"
"neutral","RT @Danait70: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #576DaysOfTigrayGenocide, remain forgotten…","Danait70"
"neutral","RT @UNFPAUkraine: #HappeningNow @UNFPA briefing #media on the impact of #Ukrainewar on women &amp; girls:\n\n\"100 days one, they are still at ris…","Addasogot"
"neutral","RT @Danait70: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #576DaysOfTigrayGenocide, remain forgotten…","Tite56012815"
"neutral","RT @HermelaMandela: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #574DaysOfTigrayGenocide, remain forg…","nigsti_tigray"
"neutral","RT @Danait70: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #574DaysOfTigrayGenocide, remain forgotten…","Danait70"
"positive","🇺🇦Ready to fight.\n#Russian #Rusia #Ukraine #ukraina #UkraineWar  #UkraineRussiaWar https://t.co/PQGYTSuXO7","infussambas"
"neutral","RT @Danait70: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #576DaysOfTigrayGenocide, remain forgotten…","Berhane_12"
"neutral","Thera are five players on Eurasia's political map: France, Germany, Russia, China, India.\nGeopolitical pivots are:… https://t.co/3SjbklbrtX","MrPopperP1"
"neutral","#Ukraine: #Kiev dit reprendre du terrain sur les troupes russes à #Severodonetsk. #UkraineWar #UkraineRussiaWar… https://t.co/PdwSgiaikA","RodrigueOssi"
"neutral","A website where Ukrainians post their diaries and stories of the war. \nWith automatic translation into &gt;70  languag… https://t.co/2UYzKiN8wM","ValeryKosta"
"neutral","RT @u_me_reality: 4/6\n🇷🇺⚡️🇺🇦😱🔥\nRuzzia Plundering Ukr. Steal\n#ukraine #ukrainewar #ukrainerussianwar #ukraine #ukrainian #ukrainekrieg https…","Johnyrocket69"
"neutral","RT @ShahiHabesha: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #575DaysOfTigrayGenocide, remain forgot…","WelduYtbarek"
"neutral","RT @weyanit_helen: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #576DaysOfTigrayGenocide, remain forgo…","Eza_Meret"
"neutral","RT @sylkowa: Wer ist #StrackZimmermann ?\n\n #Ukraine #UkraineWar #Waffenlieferungen #offenerbrief #Lanz #Kriegstreiber #Doppelmoral #natoaus…","DerBardeRalph"
"neutral","RT @Danait70: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #576DaysOfTigrayGenocide, remain forgotten…","gualraya12"
"neutral","RT @Danait70: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #576DaysOfTigrayGenocide, remain forgotten…","saba_tesfay8"
"neutral","RT @ILhamilhm3: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #574DaysOfTigrayGenocide, remain forgotte…","Eza_Meret"
"neutral","RT @Danait70: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #574DaysOfTigrayGenocide, remain forgotten…","saba_tesfay8"
"neutral","RT @Danait70: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #574DaysOfTigrayGenocide, remain forgotten…","gualraya12"
"positive","RT @UATV_en: Prez Zelensky took stock of the first 100 days of #Russia's full-fledged invasion in #Ukraine\n\nhttps://t.co/5rIfjTXfFF\n\n#Stand…","clickma"
"neutral","RT @AbrehetTigray1: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #574DaysOfTigrayGenocide, remain forg…","saraA77344934"
"neutral","RT @MehariAraya9: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #568DaysOfTigrayGenocide, remain forgot…","saraA77344934"
"neutral","RT @Danait70: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #576DaysOfTigrayGenocide, remain forgotten…","Selamhagosgmai1"
"neutral","RT @IndiaNews_itv: Russia Ukraine War: रूसी सेना ने अब तक यूक्रेन के किन हिस्सों पर कब्जा किया है?\n\n#RussianArmy #RussianUkrainianWar #Ukra…","SIMRANJ34199407"
"neutral","RT @f_fusterfabra: #Alemania y #Noruega ya trazan una ruta de negocio con #EEUU y #Canada\nen lo #energético. .. Efecto #UkraineWar para @Eu…","ObservatoriCat"
"positive","RT @UATV_en: Prez Zelensky took stock of the first 100 days of #Russia's full-fledged invasion in #Ukraine\n\nhttps://t.co/5rIfjTXfFF\n\n#Stand…","A_Woronecki"
"neutral","RT @s71908599: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #574DaysOfTigrayGenocide, remain forgotten…","WGebremichal"
"neutral","The US, EU and UK are negotiating terms for a ceasefire in #Ukraine, sources told CNN.\n\nNegotiations are ongoing, i… https://t.co/a2ORfMkTN1","gahamalian"
"neutral","RT @s71908599: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #574DaysOfTigrayGenocide, remain forgotten…","saraA77344934"
"neutral","RT @s71908599: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #574DaysOfTigrayGenocide, remain forgotten…","GidayZed"
"neutral","RT @Danait70: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #574DaysOfTigrayGenocide, remain forgotten…","Selamhagosgmai1"
"neutral","RT @MehariAraya9: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #568DaysOfTigrayGenocide, remain forgot…","GidayZed"
"neutral","RT @HermelaMandela: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #574DaysOfTigrayGenocide, remain forg…","Tite56012815"
"neutral","RT @IndiaNews_itv: Russia Ukraine War: कितना जीता रूस, क्या पाए पुतिन ?\n\n#RussianArmy #RussianUkrainianWar #UkraineWar #UkraineUnderAttaсk…","SIMRANJ34199407"
"neutral","RT @Danait70: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #576DaysOfTigrayGenocide, remain forgotten…","bettyvegas3"
"neutral","RT @Danait70: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #574DaysOfTigrayGenocide, remain forgotten…","bettyvegas3"
"neutral","RT @Danait70: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #576DaysOfTigrayGenocide, remain forgotten…","Tsrha_Kw"
"neutral","RT @Danait70: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #574DaysOfTigrayGenocide, remain forgotten…","Tsrha_Kw"
"neutral","4/6\n🇺🇦😱\n#ukraine #ukrainewar #ukrainerussianwar #ukraine #ukrainian #ukrainekrieg https://t.co/ioJj7b6jBv","u_me_reality"
"neutral","RT @Danait70: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #574DaysOfTigrayGenocide, remain forgotten…","Habtu27"
"negative","RT @PucksReturn: #Anonymous Releases a terabyte of data and emails from RKP Law, a #Russian law firm that works with major banking, media,…","gowing2000"
"neutral","RT @Danait70: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #576DaysOfTigrayGenocide, remain forgotten…","Habtu27"
"positive","Prez Zelensky took stock of the first 100 days of #Russia's full-fledged invasion in #Ukraine… https://t.co/fRgZoPdcOa","UATV_en"
"neutral","RT @ShahiHabesha: As the world focuses the #UkraineWar, our families in #Tigray, Ethiopia, who face #575DaysOfTigrayGenocide, remain forgot…","KusuWeyenti"
